46z3U,r3k2r/ppp1npb1/3q3p/1B1Pn1p1/5pb1/2N2N2/PPP3PP/R1BQR1K1 b kq - 2 12,c7c6 d5c6 e5f3 g2f3,1500,69,advantage middlegame short,1500
4bKxx,8/pp6/8/P2Pk3/1P1R3p/7K/8/2r5 w - - 2 41,d4h4 c1h1 h3g3 h1h4,1500,69,crushing endgame rookEndgame short,1500
68LfR,3rq2r/pb1P2pk/1p2P1pp/2p3b1/5N2/2P3NP/PP2Q1P1/5RK1 b - - 0 26,e8e7 f4g6 d8d7 g6e7,1500,69,advantage middlegame short,1500
Bq28I,r2q3r/1b1pkp2/p1n1pN1p/1pb1P1p1/8/1B3NP1/PP3PP1/2RQ1RK1 b - - 0 16,c5b6 d1d6,1500,69,mate mateIn1 middlegame oneMove,1500
OU2gr,r5k1/ppp2p1P/2np3Q/3q1b2/8/b1PB4/P4PP1/1K1R3R b - - 0 21,g8h8 h6f6,1500,69,mate mateIn1 middlegame oneMove,1500
QhEvi,3br1k1/p2q1pp1/2Rp3p/3n4/1Q2p3/1P2B1NP/P4PP1/6K1 w - - 0 25,b4d6 d7d6 c6d6 d5e3,1500,69,advantage master middlegame short,1500
c0uMu,2b1qk2/2p2ppp/1p1p1b2/pP1P4/2PN4/7P/PB3PP1/1Q4K1 b - - 2 27,e8e5 d4e6 e5e6 d5e6,1500,69,crushing endgame master short,1500
iWV5c,6k1/5pp1/3b3q/1pNp4/1P1Pp3/P3PbP1/1B3Q1P/6K1 w - - 5 37,b2c3 d6g3 f2g3 h6e3 g3f2 e3c3,1500,69,crushing deflection endgame fork long,1500
kyECW,6Q1/pp2r3/3k2PB/4b3/2nrB2N/P6P/1P6/6K1 w - - 0 37,g8d5 d4d5 h4f5 d6e6 e4d5 e6f5,1500,69,advantage long middlegame,1500
maXO8,5rk1/7p/3p2p1/Pp1Pb3/4P1q1/3Q4/P2B1P2/4RK2 w - - 5 33,a5a6 e5g3 d2e3 g4h3 f1e2 g3f2,1500,69,crushing endgame long pin,1500
nKvIL,r2q2k1/pp2brpp/1np1Q1n1/3p4/3P4/2P2N2/PP4PP/RNB2RK1 b - - 1 14,d8d7 e6f7 g8f7 f3e5 f7g8 e5d7,1500,69,advantage attraction doubleCheck fork long middlegame sacrifice,1500
sQkTB,6rk/pp3p1p/3p1n2/2p5/6r1/2NP4/PPP4K/4RR2 w - - 0 28,f1f6 g4h4,1500,69,endgame mate mateIn1 oneMove,1500
y3hxo,r1b1k2r/ppp1qppp/5n2/b2P4/2B5/BQ3N2/P1p2PPP/RN4K1 w kq - 0 13,a3e7 c2c1q c4f1 e8e7,1500,69,advancedPawn crushing intermezzo middlegame promotion short,1500
0S43u,1r2r1k1/2p2pp1/2Q4p/p3b3/N6B/1P1R3P/P1P2PP1/4qK2 w - - 1 27,f1e1 e5c3 e1d1 e8e1,1501,69,doubleCheck mate mateIn2 middlegame short,1500
1PmL0,r2qk2r/1b2ppb1/p1pp1npp/8/4P3/2N1B1P1/PPP1QPBP/R4RK1 b kq - 1 12,c6c5 e4e5 b7g2 e5f6 g7f6 g1g2,1501,69,crushing long middlegame,1500
CRrqO,1k5r/ppr5/4Q1p1/1P1N4/3qP1Pp/2N4P/6BK/8 b - - 1 31,c7c3 e6d6 b8a8 d5c7 c3c7 d6d4,1501,69,crushing discoveredAttack endgame long,1500
JdNon,8/2p2pk1/3p1npp/3Pp3/rP6/4N1RP/3Q1PPK/1q6 b - - 7 32,b1b4 e3f5 g7f8 d2h6 f8e8 h6h8 e8d7 h8f6,1501,69,crushing deflection discoveredAttack endgame fork pin veryLong,1500
KJscO,5b1r/3k1pp1/3p4/Q2bP2p/3q1Pn1/3P3P/PP4P1/2R2R1K b - - 2 22,d7e6 f4f5 e6e5 c1e1 g4e3 e1e3,1501,69,advantage long middlegame,1500
KcnH9,rn2kb1r/ppp1q1pp/3pb3/8/2NP4/8/PPP1QPPP/R1B1KB1R w KQkq - 2 10,c1g5 e6c4 e2e7 f8e7 f1c4 e7g5,1501,69,advantage long opening pin,1500
Qttmb,8/p6p/2p4p/P1P2k2/1P2R3/4K2P/6r1/8 b - - 0 52,g2e2 e3e2 f5e4 b4b5 c6b5 c5c6,1501,69,crushing endgame long rookEndgame,1500
VRO5a,6r1/1p1bk3/2p1p3/2PpPp1p/P6q/4P2P/3QBP1K/R7 w - - 0 26,a1g1 h4f2 h2h1 f2g1,1501,69,endgame mate mateIn2 short,1500
WeQqB,1Q4k1/1b4pp/p1q2p2/1p1p4/4p3/PB6/1bPB1PPP/6K1 b - - 1 28,c6c8 b3d5 g8h8 b8b7 c8b7 d5b7,1501,69,advantage endgame long pin,1500
nxHHE,r5k1/4b1pp/1p1p2n1/1PpPNq1r/P1B5/6Pn/5PK1/1RBQ3R w - - 1 23,e5g6 f5f2,1501,69,mate mateIn1 middlegame oneMove,1500
s9pdA,r2qkb1r/ppp2ppp/5n2/3Ppb2/2B5/2N3Q1/PPnP1PPP/R1B2KNR b kq - 1 8,c2a1 g3e5 f8e7 e5f5,1501,69,advantage fork opening short,1500
